Date,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,Value
2000-03-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.318626
2000-03-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",89.890951
2000-03-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-04-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",32.679873
2000-04-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.612508
2000-04-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-04-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",24.508901
2000-04-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",19.959572
2000-04-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-04-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",36.663207
2000-04-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.721382
2000-04-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-04-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",45.562781
2000-04-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.175279
2000-04-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-04-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.389659
2000-04-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",90.031508
2000-04-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-05-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",32.88129
2000-05-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.811312
2000-05-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-05-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",25.16411
2000-05-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",20.859616
2000-05-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-05-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",36.965024
2000-05-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.900139
2000-05-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-05-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",45.747058
2000-05-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.458101
2000-05-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-05-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.460692
2000-05-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",90.172066
2000-05-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-06-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",33.05753
2000-06-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.010116
2000-06-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-06-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",25.757893
2000-06-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",21.788795
2000-06-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-06-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",37.266842
2000-06-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.078896
2000-06-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-06-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",46.023474
2000-06-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.67021
2000-06-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-06-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.531725
2000-06-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",90.312623
2000-06-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-07-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",33.535894
2000-07-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.010116
2000-07-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-07-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",25.90122
2000-07-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.112498
2000-07-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-07-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",37.568659
2000-07-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.257652
2000-07-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-07-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",46.438099
2000-07-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.67021
2000-07-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-07-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.602759
2000-07-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",90.45318
2000-07-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-08-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",33.611426
2000-08-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.010116
2000-08-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-08-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.003596
2000-08-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.390001
2000-08-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-08-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",37.870477
2000-08-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.436409
2000-08-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-08-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",46.622376
2000-08-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.740909
2000-08-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-08-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.673792
2000-08-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",90.593738
2000-08-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-09-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",33.712134
2000-09-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.010116
2000-09-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-09-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.167398
2000-09-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.570781
2000-09-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-09-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",38.172294
2000-09-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.615166
2000-09-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-09-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",46.852723
2000-09-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.84697
2000-09-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-09-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.744825
2000-09-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",90.734295
2000-09-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-10-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",33.989082
2000-10-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.992829
2000-10-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-10-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.167398
2000-10-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.468355
2000-10-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-10-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",38.474112
2000-10-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.793923
2000-10-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-10-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",46.990931
2000-10-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.776258
2000-10-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-10-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.815859
2000-10-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",90.874852
2000-10-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-11-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",34.064614
2000-11-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.975541
2000-11-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-11-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.372151
2000-11-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.730943
2000-11-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-11-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",38.775929
2000-11-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.97268
2000-11-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-11-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",47.083069
2000-11-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.67021
2000-11-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-11-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.886892
2000-11-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",91.01541
2000-11-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2000-12-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",34.140145
2000-12-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",32.958254
2000-12-01,BWA,Botswana,FAO_CP_23014,Food price inflation,
2000-12-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.413102
2000-12-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.873839
2000-12-01,KEN,Kenya,FAO_CP_23014,Food price inflation,
2000-12-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",39.077747
2000-12-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.151436
2000-12-01,NAM,Namibia,FAO_CP_23014,Food price inflation,
2000-12-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",47.221278
2000-12-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.599512
2000-12-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,
2000-12-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",89.957925
2000-12-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",91.155967
2000-12-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,
2001-01-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",34.291207
2001-01-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.061978
2001-01-01,BWA,Botswana,FAO_CP_23014,Food price inflation,3.602384
2001-01-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.658805
2001-01-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.919383
2001-01-01,KEN,Kenya,FAO_CP_23014,Food price inflation,16.136017
2001-01-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",39.410318
2001-01-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.467834
2001-01-01,NAM,Namibia,FAO_CP_23014,Food price inflation,7.319912
2001-01-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",47.820179
2001-01-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.917669
2001-01-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,4.958652
2001-01-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",90.028959
2001-01-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",91.296524
2001-01-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,1.882258
2001-02-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",34.341562
2001-02-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.243495
2001-02-01,BWA,Botswana,FAO_CP_23014,Food price inflation,3.359312
2001-02-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.495003
2001-02-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.23739
2001-02-01,KEN,Kenya,FAO_CP_23014,Food price inflation,13.673317
2001-02-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",39.742889
2001-02-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.784232
2001-02-01,NAM,Namibia,FAO_CP_23014,Food price inflation,7.717045
2001-02-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",47.958387
2001-02-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.306538
2001-02-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,5.333317
2001-02-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",90.099992
2001-02-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",91.437082
2001-02-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,1.87931
2001-03-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",34.643687
2001-03-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.295356
2001-03-01,BWA,Botswana,FAO_CP_23014,Food price inflation,2.72
2001-03-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.3312
2001-03-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",21.969282
2001-03-01,KEN,Kenya,FAO_CP_23014,Food price inflation,12.70793
2001-03-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",40.07546
2001-03-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",34.10063
2001-03-01,NAM,Namibia,FAO_CP_23014,Food price inflation,8.109677
2001-03-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",48.280873
2001-03-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.447949
2001-03-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,4.563895
2001-03-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",90.171025
2001-03-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",91.577639
2001-03-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,1.876372
2001-04-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",34.794749
2001-04-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.321287
2001-04-01,BWA,Botswana,FAO_CP_23014,Food price inflation,2.173337
2001-04-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.720231
2001-04-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.397928
2001-04-01,KEN,Kenya,FAO_CP_23014,Food price inflation,12.21647
2001-04-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",40.408031
2001-04-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",34.417028
2001-04-01,NAM,Namibia,FAO_CP_23014,Food price inflation,8.497884
2001-04-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",48.511219
2001-04-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.58936
2001-04-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,4.020101
2001-04-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",90.242058
2001-04-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",91.718197
2001-04-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,1.873442
2001-05-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",35.273114
2001-05-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.476873
2001-05-01,BWA,Botswana,FAO_CP_23014,Food price inflation,2.028451
2001-05-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.904508
2001-05-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.794996
2001-05-01,KEN,Kenya,FAO_CP_23014,Food price inflation,9.278117
2001-05-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",40.740603
2001-05-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",34.733426
2001-05-01,NAM,Namibia,FAO_CP_23014,Food price inflation,8.88174
2001-05-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",48.695497
2001-05-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.836833
2001-05-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,3.888342
2001-05-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",90.313092
2001-05-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",91.858754
2001-05-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,1.870522
2001-06-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",35.373823
2001-06-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.528735
2001-06-01,BWA,Botswana,FAO_CP_23014,Food price inflation,1.571092
2001-06-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.945459
2001-06-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",23.126842
2001-06-01,KEN,Kenya,FAO_CP_23014,Food price inflation,6.140986
2001-06-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",41.073174
2001-06-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.049824
2001-06-01,NAM,Namibia,FAO_CP_23014,Food price inflation,9.261318
2001-06-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",48.925844
2001-06-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.80147
2001-06-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,3.17144
2001-06-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",90.384125
2001-06-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",91.999311
2001-06-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,1.867611
2001-07-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",35.524885
2001-07-01,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",33.65839
2001-07-01,BWA,Botswana,FAO_CP_23014,Food price inflation,1.963865
2001-07-01,KEN,Kenya,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.986409
2001-07-01,KEN,Kenya,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",23.367421
2001-07-01,KEN,Kenya,FAO_CP_23014,Food price inflation,5.675173
2001-07-01,NAM,Namibia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",41.405745
2001-07-01,NAM,Namibia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.366222
2001-07-01,NAM,Namibia,FAO_CP_23014,Food price inflation,9.636689
2001-07-01,ZAF,South Africa,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",48.87979
2001-07-01,ZAF,South Africa,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.97823
2001-07-01,ZAF,South Africa,FAO_CP_23014,Food price inflation,3.666981
2001-07-01,ZWE,Zimbabwe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",90.455158
2001-07-01,ZWE,Zimbabwe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",92.139869
2001-07-01,ZWE,Zimbabwe,FAO_CP_23014,Food price inflation,1.864709
2001-08-01,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",35.625594
